nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Parking Grolée,Lyon 2 ème,MONOPRIX,LPA,Rue Tupin,Rue Grolée,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,1.9,261,17,0,0,1,Mixte,Commerciale,Payant,Ouvert 24h/24h,4,929,pvo_patrimoine_voirie.pvoparking.929,4.836593,45.76295099905714
Pôle commerces et loisirs,Lyon 2 ème,Unibail,Unibail-Rodamco,Cours Charlemagne,Cours Charlemagne,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),1,2.0,1500,0,0,0,1,Horaire,Commerciale,Payant,Ouvert 24h/24h,4,360,pvo_patrimoine_voirie.pvoparking.360,4.816382,45.740728999057126
Bonnefoi-Titanic,Lyon 3 ème,Particulier,Particulier,Rue Bonnefoi,Rue Bonnefoi,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,422,0,0,0,1,Mixte,Mixte,Payant,Nuit,4,156,pvo_patrimoine_voirie.pvoparking.156,4.845497,45.75546299905714
Lafayette,Lyon 3 ème,Particulier,Particulier,Cours Lafayette,Cours Lafayette,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,2.0,200,0,0,0,1,Mixte,Mixte,Payant,Nuit,4,163,pvo_patrimoine_voirie.pvoparking.163,4.848665,45.763532999057155
Bonnel-Servient,Lyon 3 ème,ETAT,LPA,Rue de Bonnel,Rue Servient,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,1.8,778,6,4,2,4,Mixte,Mixte,Payant,Ouvert 24h/24h,4,162,pvo_patrimoine_voirie.pvoparking.162,4.84845,45.761755999057144
Lafayette-Corneille,Lyon 3 ème,Particulier,Particulier,Rue Pierre Corneille,Rue Pierre Corneille,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,350,30,10,0,2,Mixte,Mixte,Payant,Ouvert 24h/24h,4,359,pvo_patrimoine_voirie.pvoparking.359,4.84401,45.76301899905715
Hôpital Edouard Herriot,Lyon 3 ème,HCL,HCL,Place d'Arsonval,Place d'Arsonval,Existant,Parc privé (ou concédé non GL),En surface,0,2.0,350,0,0,0,1,Mixte,Mixte,Gratuit,Ouvert 24h/24h,4,421,pvo_patrimoine_voirie.pvoparking.421,4.880106,45.74328799905712
Cuirassiers,Lyon 3 ème,UNIBAIL,EFFIA,Rue du Docteur Bouchut,Rue du Docteur Bouchut,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),1,1.8,742,0,0,0,1,Mixte,Commerciale,Payant,Nuit,4,1021,pvo_patrimoine_voirie.pvoparking.1021,4.855634,45.75969399905714
Francfort-Gare (Q Park),Lyon 3 ème,PRIVE,Q PARK,Rue d'Aubigny,Rue d'Aubigny,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,1.9,361,0,0,0,8,Mixte,Mixte,Payant,Ouvert 24h/24h,4,343,pvo_patrimoine_voirie.pvoparking.343,4.862303,45.76129799905714
Bonnel Gare Part-Dieu,Lyon 3 ème,SNCF,EFFIA,Rue de Bonnel,Rue de Bonnel,Existant,Parc privé (ou concédé non GL),En surface,0,2.0,212,22,0,0,0,Mixte,Mixte,Payant,Ouvert 24h/24h,4,218,pvo_patrimoine_voirie.pvoparking.218,4.861073,45.76273499905715
Monoprix,Lyon 4 ème,MONOPRIX,MONOPRIX,7 rue de Cuire,7 rue de Cuire,Existant,Parc privé (ou concédé non GL),En surface,0,2.0,142,0,0,0,1,Mixte,Mixte,Payant,Ouvert 24h/24h,4,109,pvo_patrimoine_voirie.pvoparking.109,4.830391,45.77622499905715
